1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: F80000004058FE21
Is Mission Active?  true
Mission Start:  Wed May 24 00:58:00 PDT 2017
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  8604
Total Samples:  8604
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
24/05/17 12:58:00 AM,C,14
24/05/17 1:58:00 AM,C,13.5
24/05/17 2:58:00 AM,C,10
24/05/17 3:58:00 AM,C,8.5
24/05/17 4:58:00 AM,C,7.5
24/05/17 5:58:00 AM,C,7
24/05/17 6:58:00 AM,C,8
24/05/17 7:58:00 AM,C,8.5
24/05/17 8:58:00 AM,C,10
24/05/17 9:58:00 AM,C,10
24/05/17 10:58:00 AM,C,12.5
24/05/17 11:58:00 AM,C,13
24/05/17 12:58:00 PM,C,14
24/05/17 1:58:00 PM,C,15.5
24/05/17 2:58:00 PM,C,32
24/05/17 3:58:00 PM,C,35
24/05/17 4:58:00 PM,C,36.5
24/05/17 5:58:00 PM,C,35
24/05/17 6:58:00 PM,C,32
24/05/17 7:58:00 PM,C,26
24/05/17 8:58:00 PM,C,18
24/05/17 9:58:00 PM,C,14.5
24/05/17 10:58:00 PM,C,14
24/05/17 11:58:00 PM,C,14
25/05/17 12:58:00 AM,C,13.5
25/05/17 1:58:00 AM,C,13.5
25/05/17 2:58:00 AM,C,12
25/05/17 3:58:00 AM,C,9.5
25/05/17 4:58:00 AM,C,8.5
25/05/17 5:58:00 AM,C,7.5
25/05/17 6:58:00 AM,C,7.5
25/05/17 7:58:00 AM,C,8.5
25/05/17 8:58:00 AM,C,9
25/05/17 9:58:00 AM,C,10
25/05/17 10:58:00 AM,C,11.5
25/05/17 11:58:00 AM,C,14.5
25/05/17 12:58:00 PM,C,15.5
25/05/17 1:58:00 PM,C,16
25/05/17 2:58:00 PM,C,18
25/05/17 3:58:00 PM,C,32.5
25/05/17 4:58:00 PM,C,34.5
25/05/17 5:58:00 PM,C,34
25/05/17 6:58:00 PM,C,31.5
25/05/17 7:58:00 PM,C,26.5
25/05/17 8:58:00 PM,C,18
25/05/17 9:58:00 PM,C,16
25/05/17 10:58:00 PM,C,15.5
25/05/17 11:58:00 PM,C,15.5
26/05/17 12:58:00 AM,C,15
26/05/17 1:58:00 AM,C,14.5
26/05/17 2:58:00 AM,C,15
26/05/17 3:58:00 AM,C,12.5
26/05/17 4:58:00 AM,C,10.5
26/05/17 5:58:00 AM,C,9.5
26/05/17 6:58:00 AM,C,9.5
26/05/17 7:58:00 AM,C,10
26/05/17 8:58:00 AM,C,10.5
26/05/17 9:58:00 AM,C,11.5
26/05/17 10:58:00 AM,C,12.5
26/05/17 11:58:00 AM,C,13
26/05/17 12:58:00 PM,C,16
26/05/17 1:58:00 PM,C,16.5
26/05/17 2:58:00 PM,C,17.5
26/05/17 3:58:00 PM,C,19
26/05/17 4:58:00 PM,C,33
26/05/17 5:58:00 PM,C,34
26/05/17 6:58:00 PM,C,31.5
26/05/17 7:58:00 PM,C,27
26/05/17 8:58:00 PM,C,19
26/05/17 9:58:00 PM,C,16
26/05/17 10:58:00 PM,C,16.5
26/05/17 11:58:00 PM,C,16.5
27/05/17 12:58:00 AM,C,16
27/05/17 1:58:00 AM,C,15.5
27/05/17 2:58:00 AM,C,15.5
27/05/17 3:58:00 AM,C,15.5
27/05/17 4:58:00 AM,C,12.5
27/05/17 5:58:00 AM,C,10.5
27/05/17 6:58:00 AM,C,10
27/05/17 7:58:00 AM,C,10.5
27/05/17 8:58:00 AM,C,11.5
27/05/17 9:58:00 AM,C,12
27/05/17 10:58:00 AM,C,13
27/05/17 11:58:00 AM,C,13.5
27/05/17 12:58:00 PM,C,14
27/05/17 1:58:00 PM,C,17
27/05/17 2:58:00 PM,C,18
27/05/17 3:58:00 PM,C,17.5
27/05/17 4:58:00 PM,C,19
27/05/17 5:58:00 PM,C,30
27/05/17 6:58:00 PM,C,30
27/05/17 7:58:00 PM,C,25
27/05/17 8:58:00 PM,C,17
27/05/17 9:58:00 PM,C,14
27/05/17 10:58:00 PM,C,12.5
27/05/17 11:58:00 PM,C,16
28/05/17 12:58:00 AM,C,15.5
28/05/17 1:58:00 AM,C,14.5
28/05/17 2:58:00 AM,C,15
28/05/17 3:58:00 AM,C,15.5
28/05/17 4:58:00 AM,C,15.5
28/05/17 5:58:00 AM,C,13
28/05/17 6:58:00 AM,C,12.5
28/05/17 7:58:00 AM,C,13.5
