Jan-17,,
Day,Time,Height
,,(m)
10,10:30 PM,1.4
11,5:23 AM,4.8
11,11:24 AM,2.7
11,4:46 PM,4.4
11,11:14 PM,1.5
12,5:56 AM,4.8
12,12:02 PM,2.5
12,5:38 PM,4.4
12,11:55 PM,1.7
13,6:27 AM,4.8
13,12:39 PM,2.3
13,6:27 PM,4.5
14,12:35 AM,2
14,6:58 AM,4.7
14,1:15 PM,2.1
14,7:14 PM,4.4
15,1:15 AM,2.3
15,7:27 AM,4.6
15,1:52 PM,2
15,8:02 PM,4.4
16,1:54 AM,2.6
16,7:56 AM,4.5
16,2:29 PM,1.9
16,8:52 PM,4.3
17,2:34 AM,2.8
17,8:25 AM,4.3
17,3:09 PM,1.9
17,9:49 PM,4.2
18,3:19 AM,3.1
18,8:55 AM,4.1
18,3:51 PM,1.9
18,10:54 PM,4.1
19,4:12 AM,3.3
19,9:28 AM,4
19,4:38 PM,1.9
20,12:11 AM,4.1
20,5:28 AM,3.4
20,10:12 AM,3.9
20,5:34 PM,1.9
21,1:27 AM,4.1
21,7:07 AM,3.5
21,11:18 AM,3.8
21,6:38 PM,1.9
22,2:25 AM,4.2
22,8:21 AM,3.4
22,12:36 PM,3.8
22,7:41 PM,1.8
23,3:11 AM,4.3
23,9:11 AM,3.2
23,1:43 PM,3.8
23,8:35 PM,1.7
24,3:48 AM,4.4
24,9:50 AM,3
24,2:42 PM,4
24,9:22 PM,1.7
25,4:20 AM,4.5
25,10:23 AM,2.8
25,3:36 PM,4.1
25,10:05 PM,1.7
26,4:51 AM,4.6
26,10:56 AM,2.5
26,4:29 PM,4.3
26,10:46 PM,1.7
27,5:20 AM,4.7
27,11:29 AM,2.2
27,5:20 PM,4.5
27,11:27 PM,1.9
28,5:50 AM,4.7
28,12:05 PM,1.9
28,6:11 PM,4.6
29,12:09 AM,2.1
29,6:20 AM,4.7
29,12:44 PM,1.6
29,7:03 PM,4.7
30,12:53 AM,2.3
30,6:52 AM,4.7
30,1:27 PM,1.4
30,7:58 PM,4.7
31,1:41 AM,2.6
31,7:26 AM,4.6
31,2:13 PM,1.2
31,8:57 PM,4.7
Apr-17,,
Day,Time,Height
,,(m)
1,2:33 AM,2.9
1,8:04 AM,4.5
1,3:03 PM,1.1
1,10:04 PM,4.6
2,3:34 AM,3.1
2,8:47 AM,4.3
2,3:58 PM,1.2
2,11:18 PM,4.5
3,4:52 AM,3.3
3,9:42 AM,4.1
3,4:59 PM,1.3
4,12:35 AM,4.5
4,6:27 AM,3.3
4,10:58 AM,3.9
4,6:09 PM,1.4
5,1:42 AM,4.5
5,7:49 AM,3.1
5,12:28 PM,3.8
5,7:20 PM,1.5
6,2:36 AM,4.6
6,8:52 AM,2.9
6,1:47 PM,3.9
6,8:23 PM,1.6
7,3:20 AM,4.6
7,9:41 AM,2.6
7,2:56 PM,4
7,9:18 PM,1.8
8,3:58 AM,4.6
8,10:22 AM,2.3
8,3:58 PM,4.1
8,10:07 PM,1.9
9,4:32 AM,4.6
9,10:59 AM,2.1
9,4:54 PM,4.3
9,10:53 PM,2.1
10,5:04 AM,4.6
10,11:33 AM,1.9
10,5:44 PM,4.4
10,11:37 PM,2.3
11,5:34 AM,4.5
11,12:05 PM,1.7
11,6:29 PM,4.5
12,12:18 AM,2.6
12,6:03 AM,4.4
12,12:37 PM,1.6
12,7:13 PM,4.6
13,12:59 AM,2.8
13,6:31 AM,4.3
