site,code,ibutton_no,date_time,date,time,temperature
ruckle,1,r1.,2018-06-24T20:06:00Z,2018-06-24T07:00:00Z,20:06:00,12
ruckle,1,r1.,2018-06-24T20:36:00Z,2018-06-24T07:00:00Z,20:36:00,12
ruckle,1,r1.,2018-06-24T21:06:00Z,2018-06-24T07:00:00Z,21:06:00,12
ruckle,1,r1.,2018-06-24T21:36:00Z,2018-06-24T07:00:00Z,21:36:00,12
ruckle,1,r1.,2018-06-24T22:06:00Z,2018-06-24T07:00:00Z,22:06:00,12
ruckle,1,r1.,2018-06-24T22:36:00Z,2018-06-24T07:00:00Z,22:36:00,12
ruckle,1,r1.,2018-06-24T23:06:00Z,2018-06-24T07:00:00Z,23:06:00,12
ruckle,1,r1.,2018-06-24T23:36:00Z,2018-06-24T07:00:00Z,23:36:00,12
ruckle,1,r1.,2018-06-25T00:06:00Z,2018-06-25T07:00:00Z,00:06:00,12
ruckle,1,r1.,2018-06-25T00:36:00Z,2018-06-25T07:00:00Z,00:36:00,12
ruckle,1,r1.,2018-06-25T01:06:00Z,2018-06-25T07:00:00Z,01:06:00,12
ruckle,1,r1.,2018-06-25T01:36:00Z,2018-06-25T07:00:00Z,01:36:00,12
ruckle,1,r1.,2018-06-25T02:06:00Z,2018-06-25T07:00:00Z,02:06:00,12
ruckle,1,r1.,2018-06-25T02:36:00Z,2018-06-25T07:00:00Z,02:36:00,12
ruckle,1,r1.,2018-06-25T03:06:00Z,2018-06-25T07:00:00Z,03:06:00,12
ruckle,1,r1.,2018-06-25T03:36:00Z,2018-06-25T07:00:00Z,03:36:00,12
ruckle,1,r1.,2018-06-25T04:06:00Z,2018-06-25T07:00:00Z,04:06:00,12
ruckle,1,r1.,2018-06-25T04:36:00Z,2018-06-25T07:00:00Z,04:36:00,12
ruckle,1,r1.,2018-06-25T05:06:00Z,2018-06-25T07:00:00Z,05:06:00,12
ruckle,1,r1.,2018-06-25T05:36:00Z,2018-06-25T07:00:00Z,05:36:00,12
ruckle,1,r1.,2018-06-25T06:06:00Z,2018-06-25T07:00:00Z,06:06:00,12
ruckle,1,r1.,2018-06-25T06:36:00Z,2018-06-25T07:00:00Z,06:36:00,12
ruckle,1,r1.,2018-06-25T07:06:00Z,2018-06-25T07:00:00Z,07:06:00,12
ruckle,1,r1.,2018-06-25T07:36:00Z,2018-06-25T07:00:00Z,07:36:00,12
ruckle,1,r1.,2018-06-25T08:06:00Z,2018-06-25T07:00:00Z,08:06:00,16.5
