site,temp,length,rep
BI,5,36.818,04
BI,5,93.965,05
BI,5,49.501,05
BI,5,85.843,05
BI,5,77.896,05
BI,5,54.727,05
BI,5,72.761,05
BI,5,50.966,05
BI,5,127.947,05
BI,5,100.142,05
BI,5,84.707,05
BI,15,139.86,01
BI,15,360.168,01
BI,15,438.679,01
BI,15,346.493,01
BI,15,165.577,01
BI,15,247.721,01
BI,15,63.28,01
BI,15,142.766,01
BI,15,424.926,02
BI,15,136.643,02
BI,15,375.616,02
BI,15,317.667,02
BI,15,322,02
BI,15,433.701,02
BI,15,337.645,02
BI,15,354.324,02
BI,15,421.279,02
BI,15,331.428,02
BI,15,358.455,03
BI,15,452.515,03
BI,15,311.757,03
BI,15,514.384,03
BI,15,449.34,03
BI,15,274.291,03
BI,15,436.02,03
BI,15,371.611,03
BI,15,379.506,03
BI,15,337.717,03
BI,15,309.824,04
BI,15,327.102,04
BI,15,313.073,04
BI,15,351.235,04
BI,15,312.312,04
BI,15,346.048,04
BI,15,341.391,04
BI,15,286.657,04
BI,15,377.542,04
BI,15,302.898,04
BI,15,440.115,05
BI,15,326.943,05
BI,15,135.442,05
BI,15,329.668,05
BI,15,317.841,05
BI,15,379.704,05
BI,15,279.794,05
BI,15,250.358,05
BI,15,338.177,05
BI,15,348.112,05
BI,15,277.952,06
BI,15,263.249,06
BI,15,302.038,06
BI,15,262.896,06
BI,15,278.644,06
BI,15,344.913,06
BI,15,288.981,06
BI,15,280.375,06
BI,15,453.995,06
BI,15,297.015,06
BI,20,458.117,01
BI,20,251.724,01
BI,20,485.563,01
BI,20,229.491,01
BI,20,255.023,01
BI,20,164.829,01
BI,20,461.189,01
BI,20,376.227,01
BI,20,405.307,02
BI,20,411.939,02
BI,20,401.426,02
BI,20,458.82,02
BI,20,423.703,02
BI,20,440.356,02
BI,20,415.249,02
BI,20,470.242,02
BI,20,461.716,02
BI,20,190.214,02
BI,20,308.812,03
BI,20,437.254,03
BI,20,353.532,03
BI,20,202.532,03
BI,20,413.466,03
BI,20,342.155,03
BI,20,437.212,03
BI,20,417.894,03
BI,20,487.473,03
BI,20,445.495,03
BI,20,312.721,04
BI,20,386.118,04
BI,20,389.441,04
BI,20,228.05,04
BI,20,62.681,04
BI,20,441.022,04
BI,20,491.956,04
BI,20,429.129,05
BI,20,438.468,05
BI,20,413.902,05
BI,20,333.549,05
BI,20,285.381,05
BI,20,459.399,05
BI,20,291.43,05
BI,20,312.022,05
BI,20,430.956,05
BI,20,356.909,05
BI,20,148.103,06
BI,20,124.023,06
BI,20,476.376,06
BI,20,388.081,06
BI,20,298.36,06
NP,5,147.277,01
NP,5,75.215,01
NP,5,156.087,01
NP,5,154.651,01
NP,5,133.268,01
NP,5,135.067,01
NP,5,126.131,01
NP,5,82.526,01
NP,5,118.844,01
NP,5,53.647,01
NP,5,95.178,02
NP,5,108.43,02
NP,5,137.091,02
NP,5,130.249,02
NP,5,157.419,02
NP,5,145.708,02
NP,5,114.727,02
NP,5,102.8,02
NP,5,87.032,02
NP,5,131.196,02
NP,5,16.756,04
NP,5,12.466,04
NP,5,9.644,04
NP,5,18.223,04
NP,5,101.164,06
NP,5,124.47,06
NP,5,131.68,06
NP,5,119.28,06
NP,5,117.878,06
NP,5,96.184,06
NP,5,78.097,06
NP,5,140.218,06
NP,5,82.115,06
NP,5,95.331,06
NP,5,122.058,05
NP,5,44.472,05
NP,5,47.815,05
NP,5,102.822,05
NP,5,44.24,05
NP,5,67.738,05
NP,5,93.26,05
NP,5,124.27,05
NP,5,87.12,05
NP,5,118.066,05
NP,5,143.277,03
NP,5,120.355,03
NP,5,148.228,03
NP,5,101.962,03
NP,5,121.612,03
NP,5,105.018,03
NP,5,106.608,03
NP,5,134.023,03
NP,5,39.478,03
NP,5,87.075,03
NP,10,291.777,01
NP,10,297.255,01
NP,10,299.818,01
NP,10,414.105,01
NP,10,333.659,01
NP,10,361.88,01
NP,10,168.708,01
NP,10,334.211,01
NP,10,276.864,01
NP,10,240.513,01
NP,10,325.771,02
NP,10,289.339,02
NP,10,241.125,02
NP,10,265.408,02
NP,10,330.533,02
NP,10,302.741,02
NP,10,211.525,02
NP,10,298.707,02
NP,10,283.67,02
NP,15,368.651,03
NP,15,374.451,03
NP,15,412.512,03
NP,15,487.866,03
NP,15,254.001,03
NP,15,456.678,03
NP,15,287.929,03
NP,15,418.569,03
NP,15,428.309,03
NP,15,403.117,03
NP,10,330.057,03
NP,10,325.868,03
NP,10,278.611,03
NP,10,261.822,03
NP,10,295.583,03
NP,10,241.559,03
NP,10,270.247,03
NP,10,307.971,03
NP,10,311.897,03
NP,10,102.269,03
NP,10,111.96,04
NP,10,273.558,04
NP,10,283.601,04
NP,10,223.668,04
NP,10,247.49,04
NP,10,54.058,04
NP,10,332.895,04
NP,10,245.556,04
NP,10,260.137,04
NP,10,298.438,05
NP,10,262.508,05
NP,10,264.195,05
NP,10,280.298,05
NP,10,253.263,05
NP,10,287.861,05
NP,10,269.064,05
NP,10,66.11,05
NP,10,248.342,05
NP,10,198.966,05
NP,10,257.262,06
NP,10,261.605,06
NP,10,219.689,06
NP,10,306.298,06
